ID	Name	Genes	Length
4892	GO:1902653 secondary alcohol biosynthetic process	orf19.5535;orf19.3240;orf19.3642;orf19.1478;orf19.3228;orf19.2444;orf19.2758;orf19.6720;orf19.1203.1;orf19.3873;orf19.3682;orf19.922;orf19.6034;orf19.6787;orf19.953.1;orf19.4823;orf19.1946;orf19.6026;orf19.3462;orf19.5188;orf19.6988;orf19.7404;orf19.2649;orf19.1996;orf19.1031;orf19.1978;orf19.1427;orf19.6937;orf19.4579;orf19.5941;orf19.3010.1;orf19.6321;orf19.489;orf19.1616;orf19.3166;orf19.6176;orf19.1212;orf19.3732;orf19.6242;orf19.406;orf19.6656;orf19.508;orf19.118;orf19.3752;orf19.1659;orf19.30;orf19.3616;orf19.5498;orf19.5612;orf19.1042;orf19.3507;orf19.4747;orf19.1801;orf19.6472;orf19.301;orf19.71;orf19.1160;orf19.1746;orf19.2016;orf19.1570;orf19.6240;orf19.1591;orf19.4334;orf19.516;orf19.3656;orf19.1598;orf19.122;orf19.1155;orf19.7549;orf19.395;orf19.3825;orf19.3249;orf19.6327;orf19.7563;orf19.2551;orf19.4809;orf19.656;orf19.6812;orf19.3051;orf19.4491;orf19.5801;orf19.2756;orf19.2343.1;orf19.1665;orf19.1010;orf19.542;orf19.7459;orf19.1631;orf19.5689;orf19.3802;orf19.1865;orf19.586;orf19.6220.3;orf19.5073;orf19.2990;orf19.767;orf19.5242;orf19.5007;orf19.2803;orf19.7643;orf19.391;orf19.3590;orf19.7049;orf19.1254;orf19.3996;orf19.1691;orf19.3575;orf19.4109;orf19.3008;orf19.759;orf19.6180;orf19.6217;orf19.2298;orf19.5674;orf19.7017;orf19.7586;orf19.3293;orf19.3058;orf19.4910;orf19.3893;orf19.4316;orf19.3225;orf19.3695;orf19.3799;orf19.5352;orf19.1357;orf19.2187;orf19.4118;orf19.3417;orf19.4845;orf19.4732;orf19.3804;orf19.7312;orf19.2163;orf19.2672;orf19.3394;orf19.4581;orf19.6209;orf19.1989;orf19.7330;orf19.4631;orf19.3014;orf19.3554;orf19.5178;orf19.2023;orf19.4048;orf19.260;orf19.2909;orf19.5379;orf19.3207;orf19.3459;orf19.941;orf19.4381;orf19.4064;orf19.4865;orf19.4606;orf19.5443;orf19.2877;orf19.4824;orf19.6001;orf19.5244;orf19.2168.3	162
4893	GO:1902657 protein localization to prospore membrane	orf19.2129	1
4894	GO:1902659 regulation of glucose mediated signaling pathway	orf19.829;orf19.4235;orf19.6906;orf19.4378;orf19.3685	5
4895	GO:1902660 negative regulation of glucose mediated signaling pathway	orf19.829;orf19.4235;orf19.6906;orf19.4378;orf19.3685	5
4896	GO:1902679 negative regulation of RNA biosynthetic process	orf19.7247;orf19.1755;orf19.1343;orf19.1059;orf19.6798;orf19.4545;orf19.3865;orf19.4801;orf19.2743;orf19.7397;orf19.139;orf19.4411;orf19.2095;orf19.4297;orf19.1032;orf19.3612;orf19.6506;orf19.2747;orf19.6011;orf19.2711.1;orf19.719;orf19.7047;orf19.4342;orf19.2361;orf19.454;orf19.5148;orf19.7652;orf19.1754;orf19.1377;orf19.736;orf19.5416;orf19.3568;orf19.2823;orf19.6667;orf19.7355;orf19.4681;orf19.808;orf19.5285;orf19.5825;orf19.232;orf19.4295;orf19.2026;orf19.2736;orf19.2423;orf19.3949;orf19.2277;orf19.3552;orf19.5498;orf19.4278;orf19.4348;orf19.4627;orf19.4166;orf19.2842;orf19.1494;orf19.5268;orf19.794;orf19.2473;orf19.5755;orf19.2745;orf19.1451;orf19.1543;orf19.4318;orf19.6296;orf19.6801;orf19.4497;orf19.2173;orf19.2876;orf19.6109;orf19.2545;orf19.6722;orf19.1621;orf19.5343;orf19.4145;orf19.7150;orf19.2236;orf19.1934;orf19.2320;orf19.3291;orf19.3942;orf19.539;orf19.1759;orf19.6909;orf19.681;orf19.3319;orf19.1177;orf19.3669;orf19.7344;orf19.3912;orf19.2087;orf19.1856;orf19.5210;orf19.5326;orf19.3561;orf19.3856;orf19.6285;orf19.391;orf19.6124;orf19.793;orf19.3947;orf19.6291;orf19.4890;orf19.1453;orf19.1773;orf19.7489.3;orf19.7401;orf19.4590;orf19.5408;orf19.1150;orf19.5105;orf19.4615;orf19.5286;orf19.239;orf19.2660;orf19.6952;orf19.4438;orf19.4869;orf19.7017;orf19.7025;orf19.6726;orf19.4502;orf19.795;orf19.1802;orf19.4979;orf19.7136;orf19.1069;orf19.5389;orf19.2287;orf19.4312;orf19.5849;orf19.6925;orf19.1757;orf19.3421.1;orf19.5196;orf19.3613;orf19.7329;orf19.6734;orf19.4670;orf19.2241;orf19.2099;orf19.1275;orf19.4242;orf19.6719;orf19.2005;orf19.6009;orf19.7548;orf19.7492;orf19.4225;orf19.1854;orf19.2432;orf19.5651;orf19.5940;orf19.3201;orf19.6846;orf19.1051;orf19.1358;orf19.7238;orf19.2606;orf19.5541;orf19.610;orf19.10708	160
4897	GO:1902680 positive regulation of RNA biosynthetic process	orf19.7247;orf19.4853;orf19.971;orf19.7417;orf19.5338;orf19.4537;orf19.3593;orf19.1343;orf19.878;orf19.5350;orf19.3018;orf19.1261;orf19.6798;orf19.4545;orf19.3865;orf19.517;orf19.4775;orf19.4054;orf19.1528;orf19.3609;orf19.3333;orf19.6710;orf19.829;orf19.2743;orf19.7397;orf19.4722;orf19.139;orf19.4411;orf19.5908;orf19.5548;orf19.1623;orf19.6250;orf19.1897;orf19.7359;orf19.6506;orf19.3787;orf19.2983;orf19.1526;orf19.2747;orf19.6010;orf19.6011;orf19.316;orf19.6649;orf19.1084;orf19.2711.1;orf19.7047;orf19.4342;orf19.1041;orf19.1035;orf19.1396;orf19.723;orf19.454;orf19.3123;orf19.3628;orf19.7468;orf19.4084;orf19.2772;orf19.7036;orf19.7570;orf19.1377;orf19.1093;orf19.6795;orf19.736;orf19.6874;orf19.5416;orf19.6220;orf19.4662;orf19.3986;orf19.7372;orf19.2808;orf19.7382;orf19.3809;orf19.3715;orf19.801;orf19.6667;orf19.2012;orf19.441;orf19.7355;orf19.705;orf19.4941;orf19.2280;orf19.7215;orf19.808;orf19.7044;orf19.7034;orf19.5825;orf19.6373;orf19.232;orf19.5734;orf19.1187;orf19.4123;orf19.2736;orf19.3428;orf19.166;orf19.2423;orf19.3949;orf19.48;orf19.3552;orf19.5498;orf19.4282;orf19.3102;orf19.927;orf19.1973;orf19.4348;orf19.4776;orf19.4627;orf19.6716;orf19.3023;orf19.4166;orf19.2842;orf19.5107;orf19.5268;orf19.2272;orf19.4725;orf19.3359;orf19.921;orf19.794;orf19.837.1;orf19.1298;orf19.2745;orf19.1451;orf19.2088;orf19.1633;orf19.7067;orf19.1228;orf19.4000;orf19.1543;orf19.4318;orf19.2770.1;orf19.3794;orf19.6393;orf19.3200;orf19.1499;orf19.5001;orf19.6801;orf19.1166;orf19.4497;orf19.4863;orf19.327;orf19.1619;orf19.6080;orf19.4275;orf19.5558;orf19.2876;orf19.6109;orf19.4284;orf19.5855;orf19.1527;orf19.5343;orf19.4145;orf19.5093;orf19.2236;orf19.4594;orf19.3473;orf19.3291;orf19.2290;orf19.6601.1;orf19.4585;orf19.2406;orf19.1759;orf19.7068;orf19.7198;orf19.4394;orf19.5917;orf19.6909;orf19.3315;orf19.2379;orf19.482;orf19.5617;orf19.5657;orf19.2752;orf19.3669;orf19.1560;orf19.3912;orf19.2087;orf19.3188;orf19.4959;orf19.3688;orf19.1856;orf19.1282;orf19.7398.1;orf19.2907.1;orf19.7116;orf19.4252;orf19.3670;orf19.5793;orf19.4436;orf19.2014;orf19.3523;orf19.4752;orf19.3561;orf19.3856;orf19.7599;orf19.6102;orf19.5034;orf19.1468;orf19.6285;orf19.6112;orf19.391;orf19.6124;orf19.3947;orf19.203;orf19.4437;orf19.1453;orf19.4969;orf19.1773;orf19.5097;orf19.7489.3;orf19.7401;orf19.5666;orf19.6645;orf19.130;orf19.1150;orf19.5105;orf19.3047;orf19.4884;orf19.3012;orf19.4438;orf19.748;orf19.147;orf19.4869;orf19.5101;orf19.2315;orf19.513;orf19.7025;orf19.5406;orf19.3583;orf19.3294;orf19.7680;orf19.7136;orf19.2471;orf19.4961;orf19.6243;orf19.1069;orf19.7529;orf19.3308;orf19.4626;orf19.5389;orf19.5871;orf19.6038;orf19.5887;orf19.3252;orf19.4312;orf19.3328;orf19.3969;orf19.5849;orf19.3401;orf19.6203;orf19.1757;orf19.1734;orf19.3421.1;orf19.3281;orf19.5196;orf19.3469;orf19.3613;orf19.2507;orf19.4488;orf19.7454;orf19.4670;orf19.4091;orf19.895;orf19.7381;orf19.5676;orf19.3055;orf19.5312;orf19.2111;orf19.469;orf19.2215;orf19.1275;orf19.2884;orf19.307;orf19.2688;orf19.2325;orf19.4433;orf19.1273;orf19.1751;orf19.6009;orf19.2609;orf19.7548;orf19.7539;orf19.5953;orf19.7492;orf19.4225;orf19.2432;orf19.5651;orf19.2265;orf19.5940;orf19.6309;orf19.6075;orf19.7374;orf19.7074;orf19.2889;orf19.1358;orf19.7501;orf19.5436;orf19.3687;orf19.7238;orf19.4288;orf19.5380;orf19.2119;orf19.3027;orf19.2606;orf19.7420;orf19.5321;orf19.1253;orf19.6900;orf19.1730;orf19.6239;orf19.504;orf19.610;orf19.10712	311
4898	GO:1902682 protein localization to pericentric heterochromatin	orf19.2216	1
4899	GO:1902749 regulation of cell cycle G2/M phase transition	orf19.4206;orf19.5166;orf19.900;orf19.926;orf19.6010;orf19.1754;orf19.3823;orf19.7044;orf19.6906;orf19.4216;orf19.4192;orf19.3160;orf19.3474;orf19.3071;orf19.5335;orf19.2290;orf19.1434;orf19.5485;orf19.5325;orf19.1282;orf19.1446;orf19.3000;orf19.5242;orf19.3561;orf19.3856;orf19.1468;orf19.663;orf19.2002;orf19.2268;orf19.6936;orf19.2389;orf19.2251;orf19.2365;orf19.7035;orf19.7433;orf19.245;orf19.1223;orf19.895;orf19.7511;orf19.3014;orf19.2728;orf19.5085;orf19.1683;orf19.1283;orf19.4808	45
4900	GO:1902750 negative regulation of cell cycle G2/M phase transition	orf19.4206;orf19.5166;orf19.926;orf19.1754;orf19.4216;orf19.4192;orf19.3160;orf19.5335;orf19.2290;orf19.1434;orf19.5485;orf19.3000;orf19.5242;orf19.3561;orf19.1468;orf19.2268;orf19.6936;orf19.2389;orf19.2365;orf19.7035;orf19.245;orf19.1223;orf19.895;orf19.3014;orf19.2728;orf19.1683;orf19.1283	27
4901	GO:1902751 positive regulation of cell cycle G2/M phase transition	orf19.6010;orf19.3823;orf19.7044;orf19.3474;orf19.3071;orf19.5325;orf19.1468;orf19.663;orf19.895	9
4902	GO:1902767 isoprenoid biosynthetic process via mevalonate	orf19.4809;orf19.7312;orf19.4606;orf19.7478	4
4903	GO:1902775 mitochondrial large ribosomal subunit assembly	orf19.3481	1
4904	GO:1902801 regulation of siRNA-independent facultative heterochromatin formation	orf19.2402	1
4905	GO:1902806 regulation of cell cycle G1/S phase transition	orf19.6926;orf19.4536;orf19.2084;orf19.6494;orf19.6028;orf19.6913;orf19.1960;orf19.4275;orf19.5343;orf19.976;orf19.2290;orf19.4969;orf19.6645;orf19.3806;orf19.5101;orf19.7195;orf19.895;orf19.7381;orf19.5953;orf19.6846;orf19.6648;orf19.6213;orf19.843	23
4906	GO:1902807 negative regulation of cell cycle G1/S phase transition	orf19.2084;orf19.6913;orf19.4275;orf19.5343;orf19.976;orf19.6645;orf19.7195;orf19.895;orf19.7381;orf19.5953;orf19.6213	11
4907	GO:1902808 positive regulation of cell cycle G1/S phase transition	orf19.6926;orf19.4536;orf19.6494;orf19.6028;orf19.1960;orf19.2290;orf19.4969;orf19.3806;orf19.5101;orf19.6846;orf19.6648;orf19.843	12
4908	GO:1902816 regulation of protein localization to microtubule	orf19.1223	1
4909	GO:1902817 negative regulation of protein localization to microtubule	orf19.1223	1
4910	GO:1902838 regulation of nuclear migration along microtubule	orf19.1223	1
4911	GO:1902840 positive regulation of nuclear migration along microtubule	orf19.1223	1
4912	GO:1902845 negative regulation of mitotic spindle elongation	orf19.3856	1
4913	GO:1902846 positive regulation of mitotic spindle elongation	orf19.4192;orf19.1223	2
4914	GO:1902850 microtubule cytoskeleton organization involved in mitosis	orf19.3248;orf19.5551;orf19.3551;orf19.564;orf19.6610;orf19.6034;orf19.2641;orf19.2340;orf19.1185;orf19.3976;orf19.7353;orf19.1367;orf19.712;orf19.3474;orf19.1428;orf19.1448.1;orf19.7377;orf19.4927;orf19.1238;orf19.5325;orf19.5999;orf19.596.2;orf19.5015;orf19.6792;orf19.3856;orf19.3788;orf19.4413;orf19.6933;orf19.4675;orf19.486;orf19.4837;orf19.5008.1;orf19.7308;orf19.2600;orf19.4473;orf19.1223;orf19.3001;orf19.5410;orf19.4435;orf19.1482;orf19.2434;orf19.708;orf19.1936;orf19.3871	44
4915	GO:1902852 regulation of nuclear migration during mitotic telophase	orf19.1223	1
4916	GO:1902854 positive regulation of nuclear migration during mitotic telophase	orf19.1223	1
4917	GO:1902858 propionyl-CoA metabolic process	orf19.5565	1
4918	GO:1902859 propionyl-CoA catabolic process	orf19.5565	1
4919	GO:1902882 regulation of response to oxidative stress	orf19.2040;orf19.5643;orf19.7611;orf19.5180;orf19.2825;orf19.6461	6
4920	GO:1902883 negative regulation of response to oxidative stress	orf19.2825	1
4921	GO:1902884 positive regulation of response to oxidative stress	orf19.2040;orf19.5643;orf19.7611;orf19.6461	4
4922	GO:1902889 protein localization to spindle microtubule	orf19.3856	1
4923	GO:1902903 regulation of supramolecular fiber organization	orf19.3551;orf19.6536;orf19.3873;orf19.2791;orf19.3838;orf19.3235;orf19.4878;orf19.7201;orf19.1185;orf19.7353;orf19.2190;orf19.6534.2;orf19.3555;orf19.6621;orf19.505;orf19.886;orf19.92;orf19.3534;orf19.4772;orf19.4395;orf19.4927;orf19.2699;orf19.596.2;orf19.6092;orf19.7537;orf19.5544;orf19.5087;orf19.4193;orf19.2228;orf19.6170;orf19.5664;orf19.5956;orf19.4837;orf19.5008.1;orf19.4473;orf19.5840;orf19.4597;orf19.3330;orf19.6598;orf19.1747;orf19.676;orf19.1474;orf19.6414.3;orf19.738;orf19.1220;orf19.5076;orf19.7501;orf19.3871	48
4924	GO:1902904 negative regulation of supramolecular fiber organization	orf19.6536;orf19.2791;orf19.3838;orf19.3235;orf19.4878;orf19.7201;orf19.7353;orf19.6534.2;orf19.3555;orf19.6621;orf19.4395;orf19.4927;orf19.2699;orf19.7537;orf19.5544;orf19.4193;orf19.2228;orf19.6170;orf19.5664;orf19.5956;orf19.5840;orf19.4597;orf19.1747;orf19.676;orf19.1474;orf19.6414.3;orf19.5076	27
4925	GO:1902905 positive regulation of supramolecular fiber organization	orf19.3551;orf19.6536;orf19.3873;orf19.3235;orf19.2190;orf19.6534.2;orf19.505;orf19.886;orf19.92;orf19.3534;orf19.4927;orf19.2699;orf19.596.2;orf19.5087;orf19.2228;orf19.4837;orf19.5008.1;orf19.4473;orf19.4597;orf19.3330;orf19.6598;orf19.676;orf19.738;orf19.5076;orf19.7501;orf19.3871	26
4926	GO:1902906 proteasome storage granule assembly	orf19.7264;orf19.5383;orf19.6634	3
4927	GO:1902914 regulation of protein polyubiquitination	orf19.2343	1
4928	GO:1902915 negative regulation of protein polyubiquitination	orf19.2343	1
4929	GO:1902917 positive regulation of mating projection assembly	orf19.4645;orf19.1760;orf19.3174;orf19.390	4
4930	GO:1902930 regulation of alcohol biosynthetic process	orf19.3628;orf19.489;orf19.1007;orf19.4863;orf19.3371;orf19.4670	6
4931	GO:1902931 negative regulation of alcohol biosynthetic process	orf19.4670	1
4932	GO:1902932 positive regulation of alcohol biosynthetic process	orf19.4863;orf19.3371	2
4933	GO:1902935 protein localization to septin ring	orf19.5376;orf19.4308	2
4934	GO:1902969 mitotic DNA replication	orf19.5934;orf19.3000;orf19.2611;orf19.2389;orf19.57;orf19.2093	6
4935	GO:1902974 meiotic DNA replication initiation	orf19.1476	1
4936	GO:1902975 mitotic DNA replication initiation	orf19.5873;orf19.3761;orf19.7564;orf19.3561;orf19.2369;orf19.4354;orf19.2365;orf19.6910;orf19.1901;orf19.7065	10
4937	GO:1902977 mitotic DNA replication preinitiation complex assembly	orf19.1988;orf19.1434;orf19.3561;orf19.2389	4
4938	GO:1902981 synthesis of RNA primer involved in mitotic DNA replication	orf19.5873	1
4939	GO:1902983 DNA strand elongation involved in mitotic DNA replication	orf19.4616;orf19.6133;orf19.5182;orf19.2365;orf19.6910	5
4940	GO:1902986 regulation of lysine biosynthetic process via aminoadipic acid	orf19.4776	1
4941	GO:1903008 organelle disassembly	orf19.7445;orf19.3677;orf19.4410;orf19.2646;orf19.2401;orf19.1442;orf19.4839;orf19.3111;orf19.6987;orf19.7627;orf19.3256;orf19.7357;orf19.1210;orf19.1656;orf19.3373;orf19.4170;orf19.6469;orf19.6034;orf19.7389;orf19.3112;orf19.5179;orf19.4432;orf19.2848;orf19.6552;orf19.2747;orf19.478;orf19.2033;orf19.4471;orf19.2987;orf19.4235;orf19.5513;orf19.723;orf19.438;orf19.2340;orf19.313;orf19.3998;orf19.5148;orf19.6639;orf19.4119;orf19.2445;orf19.7036;orf19.6824;orf19.3034;orf19.6781;orf19.5579;orf19.707;orf19.1715;orf19.3746;orf19.764;orf19.4593;orf19.1718;orf19.3986;orf19.7372;orf19.3019;orf19.2808;orf19.3876;orf19.3573;orf19.3212;orf19.4649;orf19.2495;orf19.3699;orf19.2280;orf19.3434;orf19.1667;orf19.4339;orf19.7353;orf19.2751;orf19.5429;orf19.4263;orf19.2753;orf19.3801;orf19.2101;orf19.4192;orf19.3425;orf19.6167;orf19.3409;orf19.1991;orf19.1567;orf19.6148;orf19.815;orf19.166;orf19.48;orf19.6364;orf19.672;orf19.4655;orf19.433;orf19.6197;orf19.2480.1;orf19.6805;orf19.5163;orf19.5032;orf19.4348;orf19.4347;orf19.5903;orf19.6316;orf19.1333;orf19.1297;orf19.1481;orf19.1944;orf19.3474;orf19.3455;orf19.2272;orf19.3214;orf19.2945;orf19.7336;orf19.5702;orf19.1364;orf19.5089;orf19.6550;orf19.1043;orf19.6913;orf19.2748;orf19.3052;orf19.4849;orf19.5237;orf19.2623;orf19.5974;orf19.3193;orf19.2436;orf19.5011;orf19.4763;orf19.4275;orf19.7441;orf19.3149;orf19.4614;orf19.1621;orf19.87;orf19.1547;orf19.4145;orf19.7380;orf19.791;orf19.6040;orf19.4535;orf19.474;orf19.2343;orf19.1795;orf19.3264;orf19.6601.1;orf19.1990;orf19.215;orf19.7393;orf19.4549;orf19.3841;orf19.1310;orf19.4657;orf19.5033;orf19.4063;orf19.4953;orf19.4767;orf19.7371;orf19.3188;orf19.3705;orf19.4882;orf19.3782;orf19.7164;orf19.6885;orf19.4059;orf19.4322;orf19.5924;orf19.5848;orf19.6792;orf19.7098;orf19.1054;orf19.5147;orf19.3506;orf19.6358;orf19.698;orf19.4958;orf19.1254;orf19.3282;orf19.3496;orf19.1055;orf19.4521;orf19.5097;orf19.3153;orf19.3226;orf19.4590;orf19.3591;orf19.4897;orf19.3638;orf19.4203;orf19.7144;orf19.4210;orf19.2419;orf19.1345;orf19.6020;orf19.6790;orf19.2771;orf19.6980;orf19.1096;orf19.6778;orf19.2315;orf19.1793;orf19.5956;orf19.2890;orf19.5869;orf19.20;orf19.4979;orf19.6591;orf19.1439;orf19.3009;orf19.3437;orf19.7033;orf19.5387;orf19.7500;orf19.695;orf19.4116;orf19.85;orf19.4134;orf19.4232;orf19.5392;orf19.261;orf19.2565;orf19.1727;orf19.1510;orf19.2722;orf19.4274;orf19.4862;orf19.7400;orf19.7483;orf19.3769;orf19.6680;orf19.6861;orf19.2695;orf19.1814;orf19.6064;orf19.4913;orf19.1751;orf19.3606;orf19.7342;orf19.4262;orf19.2432;orf19.4668;orf19.1289;orf19.6634;orf19.3176;orf19.940;orf19.3545;orf19.4323;orf19.3201;orf19.6387;orf19.2434;orf19.7479;orf19.2982;orf19.5506;orf19.2559;orf19.5843;orf19.6595;orf19.816;orf19.4066;orf19.843;orf19.3030;orf19.3767;orf19.6481;orf19.3241;orf19.10710;orf19.10708	257
4942	GO:1903018 regulation of glycoprotein metabolic process	orf19.7571;orf19.3517	2
4943	GO:1903021 regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands	orf19.4616	1
4944	GO:1903022 positive regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands	orf19.4616	1
4945	GO:1903023 regulation of ascospore-type prospore membrane formation	orf19.1185;orf19.2622	2
4946	GO:1903024 positive regulation of ascospore-type prospore membrane formation	orf19.1185;orf19.2622	2
4947	GO:1903025 regulation of RNA polymerase II regulatory region sequence-specific DNA binding	orf19.2727;orf19.7489.3	2
4948	GO:1903026 negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding	orf19.2727;orf19.7489.3	2
4949	GO:1903031 regulation of microtubule plus-end binding	orf19.5410	1
4950	GO:1903033 positive regulation of microtubule plus-end binding	orf19.5410	1
4951	GO:1903044 protein localization to membrane raft	orf19.745	1
4952	GO:1903046 meiotic cell cycle process	orf19.4206;orf19.1711;orf19.136;orf19.7247;orf19.1755;orf19.5873;orf19.5844;orf19.1059;orf19.4616;orf19.3589;orf19.564;orf19.5166;orf19.4151;orf19.2873;orf19.2129;orf19.5954;orf19.926;orf19.3373;orf19.7412;orf19.4044;orf19.2849;orf19.1623;orf19.6789;orf19.5006.1;orf19.1941;orf19.2267;orf19.6610;orf19.6787;orf19.2867;orf19.5318;orf19.2886;orf19.2929;orf19.7257;orf19.3344;orf19.3761;orf19.6010;orf19.5934;orf19.776;orf19.377;orf19.5248;orf19.3693;orf19.4427;orf19.2216;orf19.3608;orf19.2549;orf19.508;orf19.3699;orf19.705;orf19.3414;orf19.3647;orf19.3752;orf19.4955;orf19.7353;orf19.3944;orf19.4208;orf19.4192;orf19.1376;orf19.1622;orf19.5281;orf19.3965;orf19.3760;orf19.6640;orf19.554;orf19.6915;orf19.3306;orf19.6472;orf19.3474;orf19.5069;orf19.4105;orf19.7006;orf19.1746;orf19.4401;orf19.7402;orf19.366;orf19.1448.1;orf19.7310;orf19.1648;orf19.657;orf19.1311;orf19.2079;orf19.5335;orf19.6103;orf19.866;orf19.2571;orf19.807;orf19.2919;orf19.6142;orf19.3960;orf19.5004;orf19.1621;orf19.791;orf19.6031;orf19.4035;orf19.976;orf19.4988;orf19.4914;orf19.2678;orf19.1853;orf19.2922;orf19.7440;orf19.4416;orf19.6311;orf19.3476;orf19.6851;orf19.548;orf19.1647;orf19.5212;orf19.5485;orf19.2827;orf19.7298;orf19.2616;orf19.1161;orf19.1446;orf19.7503;orf19.1865;orf19.2763;orf19.2622;orf19.1429;orf19.3561;orf19.5007;orf19.3856;orf19.1468;orf19.6285;orf19.848;orf19.6489;orf19.2907;orf19.2395;orf19.1524;orf19.3153;orf19.553;orf19.4413;orf19.4945;orf19.1192;orf19.2007;orf19.7292;orf19.429;orf19.3049;orf19.1874;orf19.2469;orf19.6936;orf19.262;orf19.2713;orf19.1956;orf19.1476;orf19.7195;orf19.20;orf19.2174;orf19.2365;orf19.6243;orf19.7308;orf19.4937;orf19.3417;orf19.1030;orf19.3093;orf19.1040;orf19.245;orf19.4157;orf19.3263;orf19.3550;orf19.3233;orf19.810;orf19.5410;orf19.1741;orf19.1605;orf19.2579;orf19.4822;orf19.3648;orf19.3014;orf19.676;orf19.6009;orf19.5367;orf19.101;orf19.3459;orf19.1854;orf19.941;orf19.5644;orf19.7663;orf19.7463;orf19.2093;orf19.3176;orf19.3545;orf19.2728;orf19.7479;orf19.4162;orf19.1283;orf19.7464;orf19.485;orf19.5764;orf19.7208;orf19.6405;orf19.1883	191
